A,E,H,F,B,G,C
M,514.0,0.15,0.2245,455.0,101.0,365.0
M,0.2255,0.07,0.0995,0.35,0.0485,265.0
F,677.0,0.21,0.2565,0.53,0.1415,0.42
M,516.0,155.0,0.2155,0.44,114.0,365.0
I,205.0,55.0,0.0895,0.33,0.0395,255.0
I,0.3515,0.12,141.0,425.0,0.0775,0.3
F,0.7775,0.33,237.0,0.53,0.1415,415.0
F,768.0,0.26,294.0,545.0,0.1495,425.0
M,0.5095,165.0,0.2165,475.0,0.1125,0.37
F,0.8945,0.32,0.3145,0.55,151.0,0.44
F,0.6065,0.21,194.0,525.0,0.1475,0.38
M,406.0,135.0,0.1675,0.43,81.0,0.35
M,0.5415,0.19,0.2175,0.49,95.0,0.38
F,0.6845,205.0,0.2725,535.0,171.0,405.0
F,0.4755,185.0,0.1675,0.47,0.0805,355.0
M,0.6645,0.24,258.0,0.5,133.0,0.4
I,0.2905,115.0,95.0,355.0,0.0395,0.28
F,451.0,0.13,188.0,0.44,87.0,0.34
M,0.2555,0.1,97.0,365.0,43.0,295.0
M,381.0,115.0,0.1705,0.45,75.0,0.32
M,0.2455,75.0,0.0955,355.0,62.0,0.28
I,0.2255,85.0,0.08,0.38,49.0,275.0
F,0.9395,0.27,0.4275,565.0,214.0,0.44
F,0.7635,0.2,318.0,0.55,0.21,415.0
F,1.1615,305.0,513.0,615.0,301.0,0.48
F,0.9285,0.3,0.3825,0.56,188.0,0.44
F,0.9955,285.0,0.3945,0.58,272.0,0.45
M,931.0,0.28,356.0,0.59,234.0,445.0
M,0.9365,295.0,394.0,605.0,219.0,475.0
M,0.8635,0.2,393.0,575.0,227.0,425.0
M,0.9975,0.33,0.3935,0.58,242.0,0.47
F,1639.0,0.46,0.6055,0.68,0.2805,0.56
M,1338.0,0.35,0.5515,665.0,0.3575,525.0
F,1798.0,455.0,815.0,0.68,0.3925,0.55
F,1.7095,0.49,633.0,705.0,0.4115,0.55
M,0.4795,125.0,227.0,465.0,124.0,355.0
F,1217.0,0.34,0.5305,0.54,0.3075,475.0
F,0.5225,145.0,237.0,0.45,0.1165,355.0
F,883.0,0.26,381.0,575.0,0.2035,445.0
M,0.3275,0.09,134.0,355.0,86.0,0.29
F,425.0,115.0,0.1865,0.45,91.0,335.0
F,0.8515,0.27,362.0,0.55,196.0,425.0
I,0.07,0.02,0.0315,0.24,0.0235,175.0
I,42.0,12.0,0.0255,205.0,15.0,0.15
I,42.0,15.0,0.0175,0.21,0.0125,0.15
I,203.0,75.0,0.0875,0.39,45.0,295.0
M,0.5795,0.14,293.0,0.47,227.0,0.37
F,0.4605,0.15,0.1775,0.46,0.11,375.0
I,161.0,45.0,0.0755,325.0,0.0255,245.0
F,0.8355,245.0,0.3545,525.0,0.2135,425.0
I,595.0,0.19,0.2385,0.52,111.0,0.41
M,303.0,0.1,0.1335,0.4,0.06,0.32
M,0.5415,0.16,0.2595,485.0,96.0,0.36
F,0.4775,0.15,0.2105,0.47,0.1055,0.36
M,385.0,0.11,173.0,405.0,0.0915,0.31
F,0.6615,0.22,0.2565,0.5,0.1755,0.4
M,0.4425,135.0,192.0,445.0,0.0955,0.35
M,0.5895,0.17,0.2765,0.47,0.12,385.0
I,86.0,25.0,42.0,245.0,14.0,0.19
F,583.0,175.0,246.0,505.0,0.13,0.4
M,0.4115,135.0,0.18,0.45,0.1125,345.0
M,625.0,175.0,305.0,505.0,0.16,405.0
F,0.6965,0.2,302.0,0.53,0.1935,0.41
M,0.3785,0.1,0.1705,425.0,0.08,325.0
M,0.58,185.0,234.0,0.52,0.1315,0.4
M,0.48,135.0,234.0,475.0,0.1015,355.0
F,915.0,0.32,354.0,565.0,0.1935,0.44
F,1285.0,485.0,416.0,595.0,224.0,495.0
F,0.5305,0.17,0.2135,475.0,0.1155,0.39
I,151.0,45.0,63.0,0.31,0.0405,235.0
M,0.7665,275.0,264.0,555.0,168.0,425.0
F,353.0,0.1,0.1405,0.4,0.0985,0.32
F,1247.0,425.0,0.48,595.0,225.0,475.0
M,1185.0,0.38,474.0,0.57,261.0,0.48
F,1098.0,315.0,481.0,605.0,0.2895,0.45
F,1.0075,0.28,0.4425,0.6,221.0,475.0
M,944.0,315.0,0.3625,595.0,189.0,475.0
F,922.0,305.0,363.0,0.6,194.0,0.47
F,788.0,285.0,282.0,555.0,0.1595,425.0
F,1.1025,345.0,0.4695,615.0,0.2355,475.0
F,941.0,285.0,0.3845,575.0,252.0,445.0
M,1615.0,675.0,0.5105,0.62,192.0,0.51
F,0.9885,0.32,396.0,0.52,225.0,425.0
M,1.3175,0.58,408.0,595.0,234.0,475.0
M,1013.0,0.36,0.38,0.58,216.0,0.45
F,1295.0,0.44,339.0,0.57,0.2225,465.0
M,1195.0,0.4,0.4825,625.0,205.0,465.0
M,0.8645,0.26,0.3305,0.56,0.2075,0.44
F,517.0,165.0,0.2205,0.46,114.0,355.0
F,0.9775,0.33,0.3135,575.0,231.0,0.45
M,0.8115,255.0,341.0,565.0,0.1675,425.0
M,755.0,0.26,307.0,555.0,0.1525,0.44
M,1115.0,0.39,0.4015,595.0,254.0,465.0
F,1262.0,0.39,507.0,625.0,318.0,495.0
M,1494.0,485.0,588.0,695.0,0.3425,0.56
M,1606.0,0.48,0.5755,665.0,388.0,535.0
M,725.0,0.25,269.0,535.0,0.1385,435.0
M,523.0,145.0,214.0,0.47,132.0,375.0
M,0.5225,165.0,201.0,0.47,133.0,0.37
F,0.5785,155.0,0.2775,475.0,85.0,375.0
I,0.2315,75.0,105.0,0.36,46.0,265.0
