A,E,H,F,B,G,D,I
F,2.1,602.0,0.8565,0.72,0.4825,215.0,12
F,1.6895,0.4935,0.6555,0.73,0.1965,0.18,10
M,2032.0,0.6585,735.0,775.0,0.4755,0.22,17
F,0.66,175.0,0.3045,505.0,0.1555,115.0,8
M,0.7455,245.0,0.2995,0.53,0.1355,0.13,10
F,616.0,0.21,243.0,505.0,0.1075,115.0,11
I,0.2825,95.0,114.0,405.0,0.0575,0.09,7
M,0.3355,95.0,0.1545,415.0,0.0685,0.1,7
M,651.0,0.22,273.0,0.5,132.0,145.0,11
M,361.0,125.0,134.0,425.0,0.0825,0.08,7
M,0.4775,175.0,0.1885,0.47,0.0885,0.1,8
F,0.3465,115.0,0.1475,0.4,0.0695,115.0,10
I,0.25,85.0,0.1025,0.37,0.0505,0.1,10
M,0.66,215.0,0.2655,0.5,0.1365,155.0,19
I,315.0,95.0,124.0,0.41,82.0,0.11,9
M,276.0,85.0,0.1175,375.0,0.0565,0.1,9
F,0.5395,165.0,0.2175,0.49,128.0,125.0,11
M,1.04,285.0,434.0,585.0,265.0,185.0,10
M,1041.0,365.0,416.0,595.0,0.2105,155.0,14
F,1.6885,0.6,562.0,675.0,0.3705,0.18,15
M,2.1835,885.0,0.7535,665.0,391.0,225.0,27
M,1.2105,335.0,0.5185,0.62,0.2555,0.17,13
I,166.0,45.0,76.0,325.0,51.0,55.0,5
I,452.0,125.0,0.2165,455.0,0.0995,0.08,9
M,0.7185,175.0,0.3265,525.0,0.1975,0.13,8
I,232.0,0.08,0.0855,385.0,0.0495,0.09,7
I,0.0105,0.0035,5.0,0.13,0.0065,35.0,4
I,0.0275,9.0,0.0125,0.18,0.01,45.0,3
I,0.1445,45.0,0.0675,0.31,0.0385,0.05,6
F,282.0,0.08,0.1405,375.0,0.0725,0.08,7
F,608.0,185.0,0.2705,0.48,0.1405,0.12,8
I,433.0,145.0,201.0,455.0,0.1265,125.0,9
M,0.3295,0.11,0.1365,425.0,0.0725,0.1,7
I,0.4555,145.0,177.0,475.0,0.0965,0.11,9
F,0.4585,0.13,192.0,435.0,0.1,0.12,11
F,275.0,35.0,113.0,0.29,0.0675,75.0,6
M,335.0,0.09,147.0,385.0,94.0,95.0,7
M,0.4265,0.15,0.1685,0.47,0.0755,115.0,8
F,0.5765,185.0,0.2395,0.5,126.0,125.0,10
I,127.0,85.0,106.0,0.4,71.0,0.1,7
M,1.1505,0.4,0.4375,0.62,0.2265,175.0,12
M,0.8915,245.0,359.0,595.0,0.2105,0.15,12
M,0.97,295.0,462.0,585.0,185.0,0.14,9
M,0.18,55.0,0.08,0.32,0.0385,0.08,6
F,0.6985,215.0,0.2945,0.52,0.1625,125.0,10
M,0.4585,0.13,0.2,0.44,0.0885,0.11,9
F,0.4005,0.12,143.0,0.44,113.0,115.0,8
M,0.7145,0.18,0.3055,565.0,166.0,0.1,12
F,932.0,335.0,361.0,0.56,213.0,125.0,9
F,966.0,0.31,391.0,0.59,0.2455,175.0,10
F,0.9995,295.0,405.0,0.57,277.0,0.18,16
M,1496.0,465.0,0.5825,0.68,337.0,205.0,14
F,0.5065,0.16,222.0,0.45,105.0,125.0,10
I,0.1735,0.05,76.0,0.32,0.0355,75.0,7
I,0.3945,125.0,0.1685,0.46,0.0865,0.11,9
M,0.4665,155.0,0.2025,0.47,0.1015,105.0,10
M,401.0,135.0,0.1575,455.0,83.0,105.0,9
